935,164,999,158,1001,184,937,190
163,448,216,450,216,468,163,466
150,255,208,253,209,271,151,274
213,138,320,127,323,153,215,163
165,350,203,351,202,370,164,369
1015,112,1046,109,1047,122,1016,125
1010,138,1055,135,1056,147,1011,150
324,133,380,126,382,141,326,148
462,116,489,112,491,127,465,132
1214,90,1243,88,1244,101,1214,103
1244,86,1266,85,1267,99,1245,100
380,126,410,122,412,138,382,142
1192,91,1219,89,1219,103,1193,105
1022,124,1061,122,1062,134,1023,136
431,122,461,116,463,131,434,136
1016,151,1051,149,1051,160,1016,161
1002,128,1029,125,1030,135,1003,137
410,122,433,120,434,135,412,137
