269,534,357,470,372,491,284,555
35,111,71,65,87,77,51,124
264,230,377,187,392,230,279,273
355,464,422,413,434,430,367,481
-6,159,37,106,53,119,10,172
214,177,372,136,389,202,230,244
709,252,758,247,759,257,710,262
540,276,587,273,589,291,541,295
712,418,754,416,754,430,712,431
698,2,730,2,730,14,697,13
706,357,759,355,759,366,706,368
506,53,556,46,559,66,508,73
550,350,599,347,600,367,551,370
406,668,448,649,466,689,425,708
664,8,695,4,696,18,666,22
682,144,731,140,732,153,683,157
299,345,345,324,353,341,306,362
525,185,575,179,577,199,527,204
720,458,776,456,777,467,720,470
725,239,761,236,762,247,726,249
701,316,734,313,735,325,702,328
384,59,421,-3,440,8,402,70
779,455,811,453,812,465,780,467
286,332,312,320,318,334,293,346
280,310,319,292,325,307,287,325
733,139,762,137,763,150,733,152
370,88,396,47,414,58,388,100
760,235,790,232,791,244,762,247
344,325,370,313,376,328,350,339
322,292,346,282,352,296,328,306
109,28,136,-7,152,5,125,41
71,73,100,32,117,45,88,86
350,301,383,286,389,300,355,314
303,323,344,304,350,319,310,338
127,177,163,133,180,148,144,192
349,281,371,273,375,286,354,294
693,241,726,238,727,249,694,252
259,342,284,332,290,348,265,358
627,556,649,554,655,600,633,603
593,424,644,416,652,474,601,482
