581,340,657,342,656,365,581,364
578,321,648,321,648,341,578,341
570,234,692,233,692,267,570,268
376,237,527,240,527,285,375,281
590,362,634,362,634,378,589,377
573,257,707,259,707,285,573,283
844,259,883,259,883,269,844,269
829,283,881,284,881,296,829,295
806,271,845,272,845,282,806,281
879,248,907,248,907,257,879,257
781,270,816,269,816,280,781,281
755,284,785,284,785,294,755,294
811,257,838,258,838,268,810,267
753,268,782,267,782,278,753,279
809,246,836,247,835,256,809,255
783,246,810,246,810,257,783,257
874,260,902,260,902,269,874,269
776,285,806,284,806,293,776,295
753,259,779,259,780,270,753,270
782,259,809,258,809,268,782,268
754,245,781,245,781,254,753,254
804,285,837,285,837,294,804,293
765,295,791,296,791,306,765,306
790,297,817,296,817,306,791,307
879,284,908,284,908,295,879,295
