603,176,714,175,714,201,604,203
903,136,1001,74,1026,114,927,176
589,137,715,132,717,167,591,173
602,225,643,224,644,242,602,243
645,246,710,246,710,271,645,270
349,269,406,270,406,282,349,280
599,279,673,276,674,302,600,305
644,369,700,369,700,379,644,379
589,255,643,250,645,270,591,275
636,382,696,383,696,392,636,391
678,277,720,278,719,303,677,302
594,122,624,118,626,130,596,134
604,409,663,412,663,423,603,420
246,129,299,158,283,188,231,159
628,115,650,115,650,127,628,127
679,115,704,118,702,131,678,128
654,114,683,115,682,129,654,127
664,412,717,411,718,421,664,423
611,382,652,383,651,392,611,392
608,367,637,368,636,379,608,378
