1095,452,1274,501,1265,536,1085,486
752,27,855,-11,866,21,764,60
972,411,1081,442,1071,478,962,447
940,102,1009,91,1014,123,945,134
1008,51,1077,31,1085,62,1016,81
1104,204,1278,187,1282,226,1108,243
941,216,1016,214,1017,240,942,242
987,169,1076,162,1079,196,989,203
1009,87,1108,64,1115,95,1015,118
1172,299,1277,307,1274,342,1169,334
936,184,984,178,987,203,939,208
1027,330,1115,337,1113,371,1025,365
1020,207,1111,200,1113,236,1023,243
752,267,953,279,947,388,746,377
994,284,1086,293,1083,328,990,319
1075,165,1124,158,1128,189,1080,196
946,290,993,292,992,317,944,315
937,72,982,60,988,87,943,98
973,325,1026,330,1023,359,970,353
754,91,790,80,797,104,762,116
982,53,1011,47,1018,81,989,87
845,150,887,159,875,218,834,210
