742,332,763,332,763,341,742,341
742,342,763,342,762,351,741,351
1023,164,1062,163,1063,177,1023,178
1037,179,1077,179,1076,191,1035,191
814,243,858,244,858,256,813,255
857,243,913,244,913,256,856,255
784,302,846,302,847,311,783,312
798,320,856,320,856,331,799,331
876,319,927,319,927,332,874,332
749,348,792,348,791,358,749,358
779,361,831,360,832,370,777,371
361,428,390,428,392,440,360,439
194,236,275,247,274,274,190,263
441,300,504,297,507,323,442,326
736,204,907,201,903,236,734,238
1040,352,1221,354,1232,406,1037,404
1031,403,1205,400,1206,436,1023,437
