1093,528,1140,529,1139,545,1093,543
853,89,905,73,913,87,865,103
763,119,819,96,823,102,768,126
794,120,858,98,864,107,801,129
773,126,823,101,828,111,778,132
815,124,871,103,877,114,827,136
828,144,884,121,890,135,837,155
937,169,991,151,1000,166,947,185
683,197,744,176,752,198,688,219
769,201,821,180,828,194,778,210
827,204,871,189,879,207,835,221
777,217,826,195,828,208,782,228
689,223,760,199,762,219,692,242
779,233,824,215,830,227,783,245
688,251,753,233,755,251,696,268
783,187,916,138,927,149,808,197
936,194,1054,151,1066,167,952,208
1061,458,1162,458,1163,534,1062,532
