1015,112,1045,110,1047,122,1015,124
1027,123,1065,123,1066,134,1028,135
385,128,431,123,430,135,385,140
1002,126,1029,125,1029,137,1000,139
1016,138,1068,135,1067,146,1015,148
1020,151,1053,149,1053,160,1019,162
152,255,190,255,190,272,153,273
185,253,213,253,213,270,185,271
164,350,201,351,201,370,164,368
163,448,214,450,215,467,164,466
1184,94,1275,82,1275,95,1189,106
428,121,491,111,497,126,432,136
317,135,385,126,390,139,321,150
221,138,328,127,329,149,225,161
945,165,1007,161,1007,184,943,187
