752,202,790,202,790,222,753,223
884,233,921,228,923,240,885,246
916,228,949,223,952,237,919,242
741,266,784,261,787,274,743,279
744,276,788,273,788,284,746,288
795,277,836,273,837,286,796,291
740,289,793,285,794,297,742,302
953,250,1009,235,1014,259,958,273
1050,303,1134,294,1134,320,1049,329
19,329,114,326,111,345,22,348
968,362,1033,361,1033,387,967,387
1046,354,1138,353,1138,382,1048,384
969,402,1036,401,1037,433,969,434
1063,404,1159,408,1162,438,1064,435
1040,230,1127,201,1136,240,1050,265
146,258,413,254,415,307,137,310
